表題：,都道府県・市区町村のすがた（社会・人口統計体系）
公開日：,2025年10月31日

***,***,***,***,/項目 コード,A1101,C1224,D310412
調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,C1224_企業所得（平成27年基準）【百万円】,D310412_貸付金（都道府県財政）【千円】,貸出金【億円】
2020100000,2020年度,16000,富山県,***,"1,034,814","783,200","69,001,318",414491
2020100000,2020年度,17000,石川県,***,"1,132,526","436,364","40,433,308",381728
2020100000,2020年度,18000,福井県,***,"766,863","534,528","31,593,738",234339
2020100000,2020年度,19000,山梨県,***,"809,974","658,220","100,263,425",148614
2020100000,2020年度,20000,長野県,***,"2,048,011","979,598","87,528,423",447314
2020100000,2020年度,21000,岐阜県,***,"1,978,742","1,120,749","92,313,436",401145
2020100000,2020年度,22000,静岡県,***,"3,633,202","2,867,135","5,542,636",1246701
2020100000,2020年度,23000,愛知県,***,"7,542,415","5,521,219","183,227,694",2913239
2020100000,2020年度,24000,三重県,***,"1,770,254","1,209,733","7,179,286",451709
2020100000,2020年度,25000,滋賀県,***,"1,413,610","1,091,253","57,090,338",440879
2020100000,2020年度,26000,京都府,***,"2,578,087","1,615,631","232,164,601",810277
2020100000,2020年度,27000,大阪府,***,"8,837,685","3,056,654","876,899,705",4949309
2020100000,2020年度,28000,兵庫県,***,"5,465,002","2,995,781","635,118,180",1313667
2020100000,2020年度,29000,奈良県,***,"1,324,473","712,320","4,869,227",330234
2020100000,2020年度,30000,和歌山県,***,"922,584","948,468","71,756,386",211478
2020100000,2020年度,31000,鳥取県,***,"553,407","292,415","2,163,379",176410
2020100000,2020年度,32000,島根県,***,"671,126","458,715","41,518,992",162308
2020100000,2020年度,33000,岡山県,***,"1,888,432","891,132","36,766,203",678093
2020100000,2020年度,34000,広島県,***,"2,799,702","1,464,300","73,408,696",1254696
2020100000,2020年度,35000,山口県,***,"1,342,059","1,214,145","90,828,944",446144
2020100000,2020年度,36000,徳島県,***,"719,559","741,667","64,214,123",257210
2020100000,2020年度,37000,香川県,***,"950,244","458,928","39,211,534",350060
2020100000,2020年度,38000,愛媛県,***,"1,334,841","657,146","87,574,729",757046
2020100000,2020年度,39000,高知県,***,"691,527","453,387","1,861,950",196290
2020100000,2020年度,40000,福岡県,***,"5,135,214","1,662,098","198,948,179",2451685
2020100000,2020年度,41000,佐賀県,***,"811,442","485,592","87,588,154",165036
2020100000,2020年度,42000,長崎県,***,"1,312,317","574,637","58,360,034",347701
2020100000,2020年度,43000,熊本県,***,"1,738,301","968,769","70,466,843",547327
2020100000,2020年度,44000,大分県,***,"1,123,852","591,228","66,238,567",296977
2020100000,2020年度,45000,宮崎県,***,"1,069,576","517,614","49,227,991",325291
2020100000,2020年度,46000,鹿児島県,***,"1,588,256","1,012,048","2,399,937",472595
2020100000,2020年度,47000,沖縄県,***,"1,467,480","496,203","65,942,600",499809
2019100000,2019年度,1000,北海道,***,"5,259,000","3,662,053","127,764,836",1260915
2019100000,2019年度,2000,青森県,***,"1,253,000","1,052,952","32,967,956",317228
2019100000,2019年度,3000,岩手県,***,"1,226,000","1,014,583","116,628,707",289078
2019100000,2019年度,4000,宮城県,***,"2,312,000","1,604,734","73,009,654",827522
2019100000,2019年度,5000,秋田県,***,"972,000","799,675","42,311,312",244065
2019100000,2019年度,6000,山形県,***,"1,080,000","912,655","53,355,298",290034
2019100000,2019年度,7000,福島県,***,"1,852,000","1,319,051","86,718,587",437619
2019100000,2019年度,8000,茨城県,***,"2,879,000","2,565,189","48,914,415",699651
2019100000,2019年度,9000,栃木県,***,"1,943,000","2,104,256","47,400,668",577114
2019100000,2019年度,10000,群馬県,***,"1,949,000","1,961,386","23,680,192",510568
2019100000,2019年度,11000,埼玉県,***,"7,342,000","4,159,667","8,146,227",1931106
2019100000,2019年度,12000,千葉県,***,"6,283,000","3,080,744","129,615,119",1775080
2019100000,2019年度,13000,東京都,***,"14,007,000","29,896,866","297,647,879",25975051
2019100000,2019年度,14000,神奈川県,***,"9,224,000","3,675,105","6,270,605",2312702
2019100000,2019年度,15000,新潟県,***,"2,224,000","1,665,940","43,017,579",605261
2019100000,2019年度,16000,富山県,***,"1,043,000","991,982","15,959,917",404549
2019100000,2019年度,17000,石川県,***,"1,139,000","619,591","40,729,034",364663
2019100000,2019年度,18000,福井県,***,"771,000","627,726","5,816,222",218964
2019100000,2019年度,19000,山梨県,***,"815,000","747,869","29,052,355",138469
2019100000,2019年度,20000,長野県,***,"2,061,000","1,269,549","26,800,286",434506
2019100000,2019年度,21000,岐阜県,***,"1,992,000","1,498,040","25,565,550",389856
2019100000,2019年度,22000,静岡県,***,"3,653,000","3,752,306","6,574,297",1173876
2019100000,2019年度,23000,愛知県,***,"7,557,000","7,346,445","182,521,570",2406497
2019100000,2019年度,24000,三重県,***,"1,783,000","1,230,521","5,144,151",431109
2019100000,2019年度,25000,滋賀県,***,"1,416,000","1,357,390","13,787,193",422906
2019100000,2019年度,26000,京都府,***,"2,592,000","2,319,235","75,101,341",754756
2019100000,2019年度,27000,大阪府,***,"8,842,000","4,994,425","231,730,681",4721354
2019100000,2019年度,28000,兵庫県,***,"5,488,000","3,807,638","175,669,940",1278533
2019100000,2019年度,29000,奈良県,***,"1,333,000","914,441","5,387,669",314485
2019100000,2019年度,30000,和歌山県,***,"931,000","1,079,728","46,910,154",202582
2019100000,2019年度,31000,鳥取県,***,"557,000","362,388","5,093,807",168407
2019100000,2019年度,32000,島根県,***,"677,000","529,762","24,222,194",157034
2019100000,2019年度,33000,岡山県,***,"1,897,000","1,219,987","38,568,749",646779
2019100000,2019年度,34000,広島県,***,"2,813,000","1,950,348","35,141,358",1198824
2019100000,2019年度,35000,山口県,***,"1,357,000","1,376,979","32,512,925",429165
2019100000,2019年度,36000,徳島県,***,"728,000","833,665","63,596,836",245062
2019100000,2019年度,37000,香川県,***,"958,000","690,616","39,768,326",333247
2019100000,2019年度,38000,愛媛県,***,"1,346,000","954,081","54,577,463",729344
2019100000,2019年度,39000,高知県,***,"699,000","582,683","1,793,923",185966
2019100000,2019年度,40000,福岡県,***,"5,134,000","2,627,112","109,241,549",2314381
2019100000,2019年度,41000,佐賀県,***,"817,000","655,767","23,848,990",158153
